Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.0,2.5,2.5,0.5,0.0,0.0,0.0
0.05,2.5001,2.5001,0.4957,-0.1915,0.0903,-0.0066
0.1,2.5159,2.5444,0.5671,-0.8641,0.2178,0.0714
0.15,2.5419,2.6423,0.6775,-1.0433,0.19,0.4815
0.2,2.5617,2.7254,0.7509,-0.8482,0.0488,0.9284
0.25,2.5864,2.8294,0.8207,-0.6357,-0.2269,1.4291
0.3,2.6074,2.9319,0.8716,-0.3145,-0.3075,1.7098
0.35,2.6253,3.0313,0.9075,0.185,-0.1168,1.8755
0.4,2.6585,3.1313,0.966,0.4734,-0.1656,1.966
0.45,2.7215,3.2339,1.0599,0.4909,-0.2677,1.9519
0.5,2.8032,3.3352,1.1603,0.4404,-0.2254,1.9702
0.55,2.8965,3.4359,1.2578,0.3139,-0.2069,1.9439
0.6,2.9951,3.5358,1.3444,0.0516,-0.0257,1.9322
0.65,3.0945,3.6357,1.4165,-0.0648,0.07,1.9015
0.7,3.1932,3.7358,1.4739,-0.02,-0.0303,1.8777
0.75,3.2916,3.8352,1.5279,-0.0114,-0.0209,1.8303
0.8,3.39,3.934,1.5848,0.0401,0.0271,1.7514
0.85,3.489,4.0335,1.6405,0.0427,0.0233,1.6426
0.9,3.5888,4.1335,1.6911,0.0095,-0.0088,1.5091
0.95,3.6888,4.2334,1.7333,-0.0116,-0.0146,1.359
1.0,3.7886,4.3332,1.7663,-0.0034,0.0075,1.1922
1.05,3.8885,4.433,1.7928,0.0022,0.0108,1.0166
1.1,3.9885,4.5331,1.8179,0.003,-0.0252,0.848
1.15,4.0882,4.6326,1.8413,0.0406,-0.0284,0.6955
1.2,4.188,4.731,1.8637,0.0717,-0.0341,0.5605
1.25,4.2879,4.8275,1.8854,0.1022,-0.0507,0.4447
1.3,4.3879,4.9213,1.9058,0.1401,-0.0491,0.3498
1.35,4.4879,5.0115,1.9258,0.1652,-0.0623,0.2704
1.4,4.5875,5.0975,1.9452,0.1856,-0.0746,0.2068
1.45,4.6863,5.1788,1.9638,0.2007,-0.0889,0.156
1.5,4.7837,5.255,1.9815,0.207,-0.1174,0.1135
1.55,4.879,5.3259,1.9984,0.209,-0.1467,0.0798
1.6,4.9711,5.3914,2.0147,0.207,-0.1736,0.0538
1.65,5.0592,5.4515,2.0308,0.2017,-0.195,0.0346
1.7,5.1427,5.5063,2.047,0.1936,-0.2101,0.0209
1.75,5.221,5.5561,2.0634,0.1833,-0.2187,0.0118
1.8,5.2939,5.6011,2.08,0.1714,-0.2214,0.006
1.85,5.3613,5.6417,2.0968,0.1587,-0.2191,0.0026
1.9,5.4232,5.6782,2.1136,0.1458,-0.2128,0.0009
1.95,5.4798,5.7111,2.1304,0.133,-0.2036,0.0002
2.0,5.5314,5.7406,2.1471,0.1208,-0.1924,0.0
2.05,5.5871,5.7721,2.1669,0.1071,-0.1773,0.0003
2.1,5.6287,5.7953,2.1832,0.0966,-0.1641,0.0006
2.15,5.6663,5.8162,2.1992,0.087,-0.1509,0.0009
2.2,5.7002,5.835,2.2149,0.0782,-0.138,0.0011
2.25,5.7307,5.8518,2.2303,0.0703,-0.1257,0.0013
2.3,5.7582,5.8669,2.2454,0.0631,-0.114,0.0014
2.35,5.7829,5.8805,2.2602,0.0567,-0.1031,0.0014
2.4,5.805,5.8927,2.2747,0.0509,-0.093,0.0013
2.45,5.825,5.9036,2.2889,0.0457,-0.0838,0.0012
2.5,5.8429,5.9134,2.3027,0.041,-0.0753,0.0011
2.55,5.8589,5.9222,2.3163,0.0368,-0.0677,0.001
2.6,5.8734,5.9301,2.3296,0.0331,-0.0608,0.0009
2.65,5.8863,5.9373,2.3427,0.0297,-0.0546,0.0008
2.7,5.8979,5.9436,2.3554,0.0267,-0.049,0.0007
2.75,5.9084,5.9494,2.3678,0.024,-0.0439,0.0006
2.8,5.9177,5.9545,2.38,0.0215,-0.0394,0.0005
2.85,5.9261,5.9592,2.3919,0.0193,-0.0354,0.0004
2.9,5.9337,5.9633,2.4036,0.0174,-0.0317,0.0003
2.95,5.9405,5.9671,2.415,0.0156,-0.0285,0.0003
3.0,5.9466,5.9704,2.4262,0.014,-0.0256,0.0002
3.05,5.952,5.9735,2.4371,0.0126,-0.0229,0.0002
3.1,5.9569,5.9762,2.4477,0.0113,-0.0206,0.0002
3.15,5.9614,5.9786,2.4582,0.0102,-0.0185,0.0001
3.2,5.9653,5.9808,2.4684,0.0092,-0.0166,0.0001
3.25,5.9689,5.9828,2.4783,0.0082,-0.0149,0.0001
3.3,5.9721,5.9845,2.4881,0.0074,-0.0134,0.0001
3.35,5.9749,5.9861,2.4976,0.0066,-0.012,0.0001
3.4,5.9775,5.9876,2.507,0.006,-0.0108,0.0
3.45,5.9798,5.9888,2.5161,0.0054,-0.0097,0.0
3.5,5.9819,5.99,2.525,0.0048,-0.0087,0.0
3.55,5.9837,5.991,2.5338,0.0043,-0.0078,0.0
3.6,5.9854,5.9919,2.5423,0.0039,-0.007,0.0
3.65,5.9869,5.9928,2.5506,0.0035,-0.0063,0.0
3.7,5.9883,5.9935,2.5588,0.0031,-0.0057,0.0
3.75,5.9895,5.9942,2.5668,0.0028,-0.0051,0.0
3.8,5.9906,5.9948,2.5746,0.0025,-0.0046,0.0
3.85,5.9915,5.9953,2.5822,0.0023,-0.0041,0.0
3.9,5.9924,5.9958,2.5897,0.002,-0.0037,0.0
3.95,5.9932,5.9962,2.597,0.0018,-0.0033,0.0
4.0,5.9939,5.9966,2.6042,0.0016,-0.003,0.0
4.05,5.9945,5.997,2.6111,0.0015,-0.0027,0.0
4.1,5.9951,5.9973,2.618,0.0013,-0.0024,0.0
4.15,5.9956,5.9976,2.6246,0.0012,-0.0021,0.0
4.2,5.9961,5.9978,2.6312,0.0011,-0.0019,0.0
4.25,5.9965,5.998,2.6376,0.001,-0.0017,0.0
4.3,5.9968,5.9982,2.6438,0.0009,-0.0015,0.0
4.35,5.9972,5.9984,2.6499,0.0008,-0.0014,0.0
4.4,5.9975,5.9986,2.6559,0.0007,-0.0012,0.0
4.45,5.9977,5.9987,2.6617,0.0006,-0.0011,0.0
4.5,5.998,5.9989,2.6674,0.0006,-0.001,0.0
4.55,5.9982,5.999,2.673,0.0005,-0.0009,0.0
4.6,5.9984,5.9991,2.6785,0.0004,-0.0008,0.0
4.65,5.9985,5.9992,2.6838,0.0004,-0.0007,0.0
4.7,5.9987,5.9993,2.6891,0.0004,-0.0006,0.0
4.75,5.9988,5.9993,2.6942,0.0003,-0.0006,0.0
4.8,5.9989,5.9994,2.6992,0.0003,-0.0005,0.0
