Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,2.5000,2.5000,1.5000,0.0000,0.0000,0.0000
0.100,2.5086,2.5086,1.5433,-0.6213,0.5301,-0.1701
0.200,2.6221,2.6222,1.6370,-0.9563,0.6871,-0.3658
0.300,2.8461,2.8464,1.7035,-0.1613,0.1554,-0.0228
0.400,3.0672,3.0682,1.7198,0.5250,-0.4777,-0.1525
0.500,3.2665,3.2700,1.6928,0.4729,-0.4645,-0.1503
0.600,3.4557,3.4629,1.5836,-0.0003,0.0038,-0.0258
0.700,3.6511,3.6584,1.5217,-0.0251,0.0189,-0.0064
0.800,3.8531,3.8586,1.5545,0.0152,0.0012,0.0033
0.900,4.0542,4.0582,1.5700,-0.0002,-0.0423,0.0051
1.000,4.2511,4.2579,1.5723,0.0005,0.0075,0.0041
1.100,4.4477,4.4576,1.5813,0.0003,0.0367,0.0041
1.200,4.6465,4.6572,1.5977,0.0208,-0.0641,0.0064
1.300,4.8394,4.8545,1.6179,0.1002,-0.0676,0.0073
1.400,5.0255,5.0427,1.6300,0.1671,-0.1559,-0.0005
1.500,5.1967,5.2145,1.6401,0.2125,-0.1992,-0.0052
1.600,5.3476,5.3644,1.6536,0.2245,-0.2196,-0.0072
1.700,5.4758,5.4909,1.6708,0.2140,-0.2132,-0.0050
1.800,5.5824,5.5953,1.6900,0.1915,-0.1943,-0.0022
1.900,5.6696,5.6804,1.7094,0.1652,-0.1692,-0.0000
2.000,5.7401,5.7490,1.7280,0.1390,-0.1433,0.0011
2.100,5.8017,5.8087,1.7470,0.1128,-0.1166,0.0014
2.200,5.8457,5.8513,1.7629,0.0920,-0.0952,0.0013
2.300,5.8805,5.8849,1.7774,0.0742,-0.0768,0.0010
2.400,5.9077,5.9112,1.7907,0.0593,-0.0614,0.0007
2.500,5.9290,5.9317,1.8029,0.0470,-0.0487,0.0005
2.600,5.9455,5.9477,1.8142,0.0370,-0.0383,0.0003
2.700,5.9583,5.9600,1.8246,0.0289,-0.0300,0.0002
2.800,5.9682,5.9695,1.8343,0.0225,-0.0233,0.0001
2.900,5.9758,5.9767,1.8433,0.0174,-0.0181,0.0001
3.000,5.9816,5.9823,1.8517,0.0134,-0.0140,0.0000
3.100,5.9860,5.9866,1.8595,0.0103,-0.0107,0.0000
3.200,5.9894,5.9898,1.8667,0.0079,-0.0082,0.0000
3.300,5.9920,5.9923,1.8735,0.0060,-0.0063,0.0000
3.400,5.9939,5.9942,1.8798,0.0046,-0.0048,0.0000
3.500,5.9954,5.9956,1.8857,0.0035,-0.0037,0.0000
3.600,5.9965,5.9967,1.8911,0.0027,-0.0028,0.0000
3.700,5.9974,5.9975,1.8962,0.0020,-0.0021,0.0000
3.800,5.9980,5.9981,1.9010,0.0015,-0.0016,0.0000
3.900,5.9985,5.9986,1.9055,0.0012,-0.0012,0.0000
4.000,5.9989,5.9989,1.9096,0.0009,-0.0009,0.0000
4.100,5.9992,5.9992,1.9135,0.0007,-0.0007,0.0000
4.200,5.9994,5.9994,1.9171,0.0005,-0.0005,0.0000
4.300,5.9995,5.9995,1.9204,0.0004,-0.0004,0.0000
4.400,5.9996,5.9997,1.9236,0.0003,-0.0003,0.0000
4.500,5.9997,5.9997,1.9265,0.0002,-0.0002,0.0000
4.600,5.9998,5.9998,1.9292,0.0002,-0.0002,0.0000
4.700,5.9998,5.9999,1.9318,0.0001,-0.0001,0.0000
4.800,5.9999,5.9999,1.9341,0.0001,-0.0001,0.0000
4.900,5.9999,5.9999,1.9364,0.0001,-0.0001,0.0000
5.000,5.9999,5.9999,1.9384,0.0001,-0.0001,0.0000
5.100,6.0000,6.0000,1.9403,0.0000,-0.0000,0.0000
5.200,6.0000,6.0000,1.9421,0.0000,-0.0000,0.0000
5.300,6.0000,6.0000,1.9438,0.0000,-0.0000,0.0000
5.400,6.0000,6.0000,1.9454,0.0000,-0.0000,0.0000
5.500,6.0000,6.0000,1.9468,0.0000,-0.0000,0.0000
5.600,6.0000,6.0000,1.9482,0.0000,-0.0000,0.0000
5.700,6.0000,6.0000,1.9495,0.0000,-0.0000,0.0000
5.800,6.0000,6.0000,1.9506,0.0000,-0.0000,0.0000
5.900,6.0000,6.0000,1.9517,0.0000,-0.0000,0.0000
6.000,6.0000,6.0000,1.9528,0.0000,-0.0000,0.0000
6.100,6.0000,6.0000,1.9537,0.0000,-0.0000,0.0000
6.200,6.0000,6.0000,1.9546,0.0000,-0.0000,0.0000
6.300,6.0000,6.0000,1.9555,0.0000,-0.0000,0.0000
6.400,6.0000,6.0000,1.9562,0.0000,-0.0000,0.0000
6.500,6.0000,6.0000,1.9570,0.0000,-0.0000,0.0000
6.600,6.0000,6.0000,1.9576,0.0000,-0.0000,0.0000
6.700,6.0000,6.0000,1.9583,0.0000,-0.0000,0.0000
6.800,6.0000,6.0000,1.9589,0.0000,-0.0000,0.0000
6.900,6.0000,6.0000,1.9594,0.0000,-0.0000,0.0000
7.000,6.0000,6.0000,1.9599,0.0000,-0.0000,0.0000
7.100,6.0000,6.0000,1.9604,0.0000,-0.0000,0.0000
7.200,6.0000,6.0000,1.9608,0.0000,-0.0000,0.0000
7.300,6.0000,6.0000,1.9613,0.0000,-0.0000,0.0000
7.400,6.0000,6.0000,1.9616,0.0000,-0.0000,0.0000
7.500,6.0000,6.0000,1.9620,0.0000,-0.0000,0.0000
7.600,6.0000,6.0000,1.9623,0.0000,-0.0000,0.0000
7.700,6.0000,6.0000,1.9627,0.0000,-0.0000,0.0000
7.800,6.0000,6.0000,1.9630,0.0000,-0.0000,0.0000
7.900,6.0000,6.0000,1.9632,0.0000,-0.0000,0.0000
8.000,6.0000,6.0000,1.9635,0.0000,-0.0000,0.0000
8.100,6.0000,6.0000,1.9637,0.0000,-0.0000,-0.0000
8.200,6.0000,6.0000,1.9639,0.0000,-0.0000,-0.0000
8.300,6.0000,6.0000,1.9641,0.0000,-0.0000,-0.0000
8.400,6.0000,6.0000,1.9643,0.0000,-0.0000,-0.0000
8.500,6.0000,6.0000,1.9645,0.0000,-0.0000,-0.0000
8.600,6.0000,6.0000,1.9647,0.0000,-0.0000,-0.0000
8.700,6.0000,6.0000,1.9648,0.0000,-0.0000,-0.0000
8.800,6.0000,6.0000,1.9650,0.0000,-0.0000,-0.0000
8.900,6.0000,6.0000,1.9651,0.0000,-0.0000,-0.0000
9.000,6.0000,6.0000,1.9653,0.0000,-0.0000,-0.0000
9.100,6.0000,6.0000,1.9654,0.0000,-0.0000,0.0000
9.200,6.0000,6.0000,1.9655,0.0000,-0.0000,0.0000
9.300,6.0000,6.0000,1.9656,0.0000,-0.0000,0.0000
9.400,6.0000,6.0000,1.9657,0.0000,-0.0000,0.0000
9.500,6.0000,6.0000,1.9658,0.0000,-0.0000,0.0000
9.600,6.0000,6.0000,1.9659,0.0000,-0.0000,0.0000
9.700,6.0000,6.0000,1.9659,0.0000,-0.0000,0.0000
9.800,6.0000,6.0000,1.9660,0.0000,-0.0000,0.0000
9.900,6.0000,6.0000,1.9661,0.0000,-0.0000,0.0000
10.000,6.0000,6.0000,1.9661,0.0000,-0.0000,0.0000
10.100,6.0000,6.0000,1.9662,0.0000,-0.0000,0.0000
10.200,6.0000,6.0000,1.9663,0.0000,-0.0000,-0.0000
10.300,6.0000,6.0000,1.9663,0.0000,-0.0000,0.0000
10.400,6.0000,6.0000,1.9664,0.0000,-0.0000,0.0000
10.500,6.0000,6.0000,1.9664,0.0000,-0.0000,0.0000
10.600,6.0000,6.0000,1.9664,0.0000,-0.0000,0.0000
10.700,6.0000,6.0000,1.9665,0.0000,-0.0000,0.0000
10.800,6.0000,6.0000,1.9665,0.0000,-0.0000,0.0000
10.900,6.0000,6.0000,1.9665,0.0000,-0.0000,0.0000
11.000,6.0000,6.0000,1.9666,0.0000,-0.0000,0.0000
11.100,6.0000,6.0000,1.9666,0.0000,-0.0000,0.0000
11.200,6.0000,6.0000,1.9666,0.0000,-0.0000,0.0000
11.300,6.0000,6.0000,1.9667,0.0000,-0.0000,0.0000
11.400,6.0000,6.0000,1.9667,0.0000,-0.0000,0.0000
11.500,6.0000,6.0000,1.9667,0.0000,-0.0000,0.0000
11.600,6.0000,6.0000,1.9667,0.0000,-0.0000,0.0000
11.700,6.0000,6.0000,1.9667,0.0000,-0.0000,0.0000
11.800,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
11.900,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
12.000,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
12.100,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
12.200,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
12.300,6.0000,6.0000,1.9668,0.0000,-0.0000,0.0000
12.400,6.0000,6.0000,1.9668,0.0000,-0.0000,-0.0000
12.500,6.0000,6.0000,1.9669,0.0000,-0.0000,0.0000
12.600,6.0000,6.0000,1.9669,0.0000,-0.0000,0.0000
12.700,6.0000,6.0000,1.9669,0.0000,-0.0000,-0.0000
12.800,6.0000,6.0000,1.9669,0.0000,-0.0000,-0.0000
12.900,6.0000,6.0000,1.9669,0.0000,-0.0000,-0.0000
13.000,6.0000,6.0000,1.9669,0.0000,-0.0000,0.0000
13.100,6.0000,6.0000,1.9669,0.0000,-0.0000,0.0000
13.200,6.0000,6.0000,1.9669,0.0000,-0.0000,0.0000
13.300,6.0000,6.0000,1.9669,0.0000,0.0000,0.0000
13.400,6.0000,6.0000,1.9669,-0.0000,-0.0000,-0.0000
13.500,6.0000,6.0000,1.9669,-0.0000,-0.0000,-0.0000
13.600,6.0000,6.0000,1.9669,-0.0000,-0.0000,0.0000
13.700,6.0000,6.0000,1.9669,-0.0000,-0.0000,0.0000
13.800,6.0000,6.0000,1.9670,0.0000,-0.0000,-0.0000
13.900,6.0000,6.0000,1.9670,-0.0000,-0.0000,-0.0000
14.000,6.0000,6.0000,1.9670,-0.0000,0.0000,0.0000
14.100,6.0000,6.0000,1.9670,0.0000,0.0000,0.0000
14.200,6.0000,6.0000,1.9670,-0.0000,-0.0000,0.0000
14.300,6.0000,6.0000,1.9670,0.0000,0.0000,0.0000
14.400,6.0000,6.0000,1.9670,0.0000,0.0000,0.0000
14.500,6.0000,6.0000,1.9670,-0.0000,0.0000,0.0000
14.600,6.0000,6.0000,1.9670,-0.0000,0.0000,0.0000
14.700,6.0000,6.0000,1.9670,0.0000,-0.0000,0.0000
14.800,6.0000,6.0000,1.9670,0.0000,-0.0000,0.0000
14.900,6.0000,6.0000,1.9670,0.0000,-0.0000,-0.0000
15.000,6.0000,6.0000,1.9670,-0.0000,0.0000,-0.0000
15.100,6.0000,6.0000,1.9670,-0.0000,0.0000,-0.0000
15.200,6.0000,6.0000,1.9670,-0.0000,-0.0000,-0.0000
15.300,6.0000,6.0000,1.9670,-0.0000,-0.0000,-0.0000
