Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,1.0000,1.0000,3.5000,0.0000,0.0000,0.0000
0.100,1.0009,1.0009,3.4608,-0.5769,0.5150,-0.1429
0.200,1.1014,1.1007,3.4318,-0.9055,0.6878,-0.3369
0.300,1.3288,1.3259,3.3812,-0.1891,0.2061,-0.0471
0.400,1.5569,1.5511,3.2616,0.3935,-0.3369,-0.1263
0.500,1.7742,1.7657,3.0828,0.3458,-0.3001,-0.1263
0.600,1.9744,1.9638,2.8830,0.0503,-0.0465,-0.0662
0.700,2.1669,2.1546,2.6908,-0.0107,-0.0086,-0.0443
0.800,2.3581,2.3458,2.4868,0.0720,-0.0936,-0.0162
0.900,2.5387,2.5285,2.2826,0.3210,-0.3253,-0.0362
1.000,2.6866,2.6797,2.0772,0.4085,-0.4026,-0.0487
1.100,2.7924,2.7886,1.8718,0.3238,-0.3264,-0.0106
1.200,2.8655,2.8641,1.6676,0.0561,-0.0504,0.0427
1.300,2.9341,2.9341,1.4649,-0.2584,0.2868,0.0092
1.400,3.0301,3.0302,1.2594,-0.4998,0.4896,-0.0781
1.500,3.1857,3.1854,1.0658,-0.3564,0.3618,-0.0230
1.600,3.3817,3.3812,0.8663,-0.0384,0.0356,0.0293
1.700,3.5797,3.5795,0.6834,0.0028,-0.0004,0.0178
1.800,3.7787,3.7785,0.6084,0.0077,-0.0146,0.0098
1.900,3.9792,3.9791,0.5816,0.0037,-0.0089,0.0060
2.000,4.1805,4.1805,0.5926,0.0640,-0.0662,0.0034
2.100,4.3938,4.3940,0.6643,0.1502,-0.1561,-0.0027
2.200,4.5733,4.5742,0.7207,0.1443,-0.1413,0.0033
2.300,4.7388,4.7399,0.7717,0.2163,-0.2172,-0.0073
2.400,4.8829,4.8840,0.8238,0.2187,-0.2198,-0.0058
2.500,5.0047,5.0057,0.8771,0.2113,-0.2136,-0.0044
2.600,5.1054,5.1063,0.9298,0.1877,-0.1903,-0.0013
2.700,5.1876,5.1884,0.9802,0.1620,-0.1646,0.0005
2.800,5.2541,5.2547,1.0277,0.1362,-0.1382,0.0014
2.900,5.3074,5.3078,1.0719,0.1127,-0.1141,0.0016
3.000,5.3497,5.3501,1.1129,0.0920,-0.0929,0.0014
3.100,5.3833,5.3835,1.1509,0.0743,-0.0748,0.0011
3.200,5.4096,5.4098,1.1862,0.0594,-0.0597,0.0007
3.300,5.4302,5.4304,1.2189,0.0472,-0.0474,0.0005
3.400,5.4463,5.4464,1.2493,0.0372,-0.0373,0.0003
3.500,5.4587,5.4589,1.2775,0.0292,-0.0292,0.0002
3.600,5.4684,5.4685,1.3039,0.0227,-0.0228,0.0001
3.700,5.4758,5.4759,1.3284,0.0177,-0.0177,0.0001
3.800,5.4815,5.4816,1.3512,0.0137,-0.0137,0.0000
3.900,5.4859,5.4860,1.3725,0.0105,-0.0106,0.0000
4.000,5.4893,5.4893,1.3923,0.0081,-0.0081,0.0000
4.100,5.4918,5.4919,1.4108,0.0062,-0.0062,0.0000
4.200,5.4938,5.4938,1.4281,0.0048,-0.0048,0.0000
4.300,5.4953,5.4953,1.4442,0.0036,-0.0037,0.0000
4.400,5.4964,5.4965,1.4592,0.0028,-0.0028,0.0000
4.500,5.4973,5.4973,1.4732,0.0021,-0.0021,0.0000
4.600,5.4980,5.4980,1.4862,0.0016,-0.0016,0.0000
4.700,5.4985,5.4985,1.4984,0.0012,-0.0012,0.0000
4.800,5.4988,5.4988,1.5097,0.0009,-0.0009,0.0000
4.900,5.4991,5.4991,1.5203,0.0007,-0.0007,0.0000
5.000,5.4993,5.4993,1.5302,0.0005,-0.0005,0.0000
5.100,5.4995,5.4995,1.5394,0.0004,-0.0004,0.0000
5.200,5.4996,5.4996,1.5480,0.0003,-0.0003,0.0000
5.300,5.4997,5.4997,1.5560,0.0002,-0.0002,0.0000
5.400,5.4998,5.4998,1.5635,0.0002,-0.0002,0.0000
5.500,5.4998,5.4998,1.5705,0.0001,-0.0001,0.0000
5.600,5.4999,5.4999,1.5770,0.0001,-0.0001,0.0000
5.700,5.4999,5.4999,1.5830,0.0001,-0.0001,0.0000
5.800,5.4999,5.4999,1.5887,0.0001,-0.0001,0.0000
5.900,5.4999,5.4999,1.5939,0.0000,-0.0000,0.0000
6.000,5.5000,5.5000,1.5989,0.0000,-0.0000,0.0000
6.100,5.5000,5.5000,1.6035,0.0000,-0.0000,0.0000
6.200,5.5000,5.5000,1.6077,0.0000,-0.0000,0.0000
6.300,5.5000,5.5000,1.6117,0.0000,-0.0000,0.0000
6.400,5.5000,5.5000,1.6154,0.0000,-0.0000,0.0000
6.500,5.5000,5.5000,1.6189,0.0000,-0.0000,0.0000
6.600,5.5000,5.5000,1.6222,0.0000,-0.0000,0.0000
6.700,5.5000,5.5000,1.6252,0.0000,-0.0000,0.0000
6.800,5.5000,5.5000,1.6280,0.0000,-0.0000,0.0000
6.900,5.5000,5.5000,1.6306,0.0000,-0.0000,0.0000
7.000,5.5000,5.5000,1.6331,0.0000,-0.0000,0.0000
7.100,5.5000,5.5000,1.6354,0.0000,-0.0000,0.0000
7.200,5.5000,5.5000,1.6375,0.0000,-0.0000,0.0000
