Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,2.5000,2.5000,1.5000,0.0000,0.0000,0.0000
0.100,2.5091,2.5088,1.5456,-0.6174,0.5541,-0.1587
0.200,2.6239,2.6218,1.6395,-0.9819,0.7342,-0.3695
0.300,2.8486,2.8442,1.7014,-0.1979,0.2201,-0.0113
0.400,3.0737,3.0664,1.6891,0.4731,-0.3744,-0.1049
0.500,3.2815,3.2679,1.6225,0.5929,-0.3142,-0.0634
0.600,3.4699,3.4244,1.5330,0.4076,0.0215,0.0832
0.700,3.6644,3.5027,1.5283,0.2582,0.0189,0.0491
0.800,3.8642,3.5329,1.5627,-0.0968,0.0076,0.0276
0.900,4.0642,3.5702,1.5434,-0.3960,0.0078,0.0134
1.000,4.2645,3.6609,1.5468,-0.4925,-0.0016,0.0138
1.100,4.4638,3.8336,1.6146,-0.2618,0.0045,0.0051
1.200,4.6622,4.0367,1.6662,0.0227,-0.0070,-0.0107
1.300,4.8590,4.2375,1.6671,-0.0012,-0.0927,-0.0236
1.400,5.0473,4.4381,1.6610,0.0482,-0.1669,-0.0197
1.500,5.2180,4.6329,1.6615,0.0814,-0.2054,-0.0172
1.600,5.3659,4.8194,1.6742,0.0267,-0.2162,-0.0108
1.700,5.4921,5.0021,1.6879,0.1345,-0.2115,-0.0070
1.800,5.5975,5.1721,1.7006,0.1789,-0.1934,-0.0041
1.900,5.6835,5.3240,1.7141,0.2088,-0.1695,-0.0017
2.000,5.7524,5.4547,1.7292,0.2081,-0.1429,0.0003
2.100,5.8118,5.5744,1.7466,0.1918,-0.1151,0.0015
2.200,5.8539,5.6631,1.7622,0.1689,-0.0928,0.0018
2.300,5.8870,5.7351,1.7770,0.1446,-0.0741,0.0016
2.400,5.9128,5.7930,1.7907,0.1207,-0.0587,0.0013
2.500,5.9329,5.8390,1.8033,0.0990,-0.0463,0.0009
2.600,5.9485,5.8753,1.8148,0.0801,-0.0363,0.0006
2.700,5.9606,5.9039,1.8255,0.0642,-0.0283,0.0004
2.800,5.9699,5.9261,1.8352,0.0509,-0.0220,0.0002
2.900,5.9771,5.9434,1.8443,0.0400,-0.0170,0.0001
3.000,5.9825,5.9567,1.8526,0.0313,-0.0132,0.0001
3.100,5.9867,5.9670,1.8604,0.0244,-0.0101,0.0000
3.200,5.9899,5.9749,1.8676,0.0189,-0.0078,0.0000
3.300,5.9924,5.9809,1.8743,0.0145,-0.0059,0.0000
3.400,5.9942,5.9855,1.8806,0.0112,-0.0045,0.0000
3.500,5.9956,5.9890,1.8864,0.0086,-0.0035,0.0000
3.600,5.9967,5.9917,1.8919,0.0065,-0.0026,0.0000
3.700,5.9975,5.9937,1.8969,0.0050,-0.0020,0.0000
3.800,5.9981,5.9953,1.9016,0.0038,-0.0015,0.0000
3.900,5.9986,5.9964,1.9060,0.0029,-0.0011,0.0000
4.000,5.9989,5.9973,1.9101,0.0022,-0.0009,0.0000
4.100,5.9992,5.9980,1.9140,0.0017,-0.0007,0.0000
4.200,5.9994,5.9985,1.9175,0.0013,-0.0005,0.0000
4.300,5.9995,5.9988,1.9209,0.0009,-0.0004,0.0000
4.400,5.9997,5.9991,1.9240,0.0007,-0.0003,0.0000
4.500,5.9997,5.9993,1.9269,0.0005,-0.0002,0.0000
4.600,5.9998,5.9995,1.9296,0.0004,-0.0002,0.0000
4.700,5.9999,5.9996,1.9321,0.0003,-0.0001,0.0000
4.800,5.9999,5.9997,1.9345,0.0002,-0.0001,0.0000
4.900,5.9999,5.9998,1.9366,0.0002,-0.0001,0.0000
5.000,5.9999,5.9998,1.9387,0.0001,-0.0001,0.0000
5.100,6.0000,5.9999,1.9406,0.0001,-0.0000,0.0000
5.200,6.0000,5.9999,1.9424,0.0001,-0.0000,0.0000
5.300,6.0000,5.9999,1.9440,0.0001,-0.0000,0.0000
5.400,6.0000,6.0000,1.9456,0.0000,-0.0000,0.0000
5.500,6.0000,6.0000,1.9470,0.0000,-0.0000,0.0000
5.600,6.0000,6.0000,1.9484,0.0000,-0.0000,0.0000
5.700,6.0000,6.0000,1.9496,0.0000,-0.0000,0.0000
5.800,6.0000,6.0000,1.9508,0.0000,-0.0000,0.0000
5.900,6.0000,6.0000,1.9519,0.0000,-0.0000,0.0000
6.000,6.0000,6.0000,1.9529,0.0000,-0.0000,0.0000
6.100,6.0000,6.0000,1.9539,0.0000,-0.0000,0.0000
6.200,6.0000,6.0000,1.9547,0.0000,-0.0000,0.0000
6.300,6.0000,6.0000,1.9556,0.0000,-0.0000,0.0000
6.400,6.0000,6.0000,1.9563,0.0000,-0.0000,0.0000
6.500,6.0000,6.0000,1.9571,0.0000,-0.0000,0.0000
6.600,6.0000,6.0000,1.9577,0.0000,-0.0000,0.0000
6.700,6.0000,6.0000,1.9584,0.0000,-0.0000,0.0000
6.800,6.0000,6.0000,1.9589,0.0000,-0.0000,0.0000
6.900,6.0000,6.0000,1.9595,0.0000,-0.0000,0.0000
7.000,6.0000,6.0000,1.9600,0.0000,-0.0000,0.0000
7.100,6.0000,6.0000,1.9605,0.0000,-0.0000,0.0000
7.200,6.0000,6.0000,1.9609,0.0000,-0.0000,0.0000
7.300,6.0000,6.0000,1.9613,0.0000,-0.0000,0.0000
7.400,6.0000,6.0000,1.9617,0.0000,-0.0000,0.0000
7.500,6.0000,6.0000,1.9621,0.0000,-0.0000,0.0000
7.600,6.0000,6.0000,1.9624,0.0000,-0.0000,0.0000
7.700,6.0000,6.0000,1.9627,0.0000,-0.0000,0.0000
7.800,6.0000,6.0000,1.9630,0.0000,-0.0000,0.0000
7.900,6.0000,6.0000,1.9633,0.0000,-0.0000,0.0000
8.000,6.0000,6.0000,1.9635,0.0000,-0.0000,0.0000
8.100,6.0000,6.0000,1.9637,0.0000,-0.0000,0.0000
8.200,6.0000,6.0000,1.9640,0.0000,-0.0000,0.0000
8.300,6.0000,6.0000,1.9642,0.0000,-0.0000,0.0000
8.400,6.0000,6.0000,1.9644,0.0000,-0.0000,0.0000
8.500,6.0000,6.0000,1.9645,0.0000,-0.0000,0.0000
8.600,6.0000,6.0000,1.9647,0.0000,-0.0000,0.0000
8.700,6.0000,6.0000,1.9649,0.0000,-0.0000,-0.0000
8.800,6.0000,6.0000,1.9650,0.0000,-0.0000,-0.0000
