Time (s),X_pos (m),Y_pos (m),Z_pos (m),Phi_rot (rad),Theta_rot (rad),Psi_rot (rad)
0.000,2.5000,2.5000,0.5000,0.0000,0.0000,0.0000
0.050,2.5001,2.5001,0.4957,-0.1915,0.0903,-0.0066
0.100,2.5159,2.5444,0.5671,-0.8641,0.2178,0.0714
0.150,2.5419,2.6423,0.6775,-1.0433,0.1900,0.4815
0.200,2.5617,2.7254,0.7509,-0.8482,0.0488,0.9284
0.250,2.5864,2.8294,0.8207,-0.6357,-0.2269,1.4291
0.300,2.6074,2.9319,0.8716,-0.3145,-0.3075,1.7098
0.350,2.6253,3.0313,0.9075,0.1850,-0.1168,1.8755
0.400,2.6585,3.1313,0.9660,0.4734,-0.1656,1.9660
0.450,2.7215,3.2339,1.0599,0.4909,-0.2677,1.9519
0.500,2.8032,3.3352,1.1603,0.4404,-0.2254,1.9702
0.550,2.8965,3.4359,1.2578,0.3139,-0.2069,1.9439
0.600,2.9951,3.5358,1.3444,0.0516,-0.0257,1.9322
0.650,3.0945,3.6357,1.4165,-0.0648,0.0700,1.9015
0.700,3.1932,3.7358,1.4739,-0.0200,-0.0303,1.8777
0.750,3.2916,3.8352,1.5279,-0.0114,-0.0209,1.8303
0.800,3.3900,3.9340,1.5848,0.0401,0.0271,1.7514
0.850,3.4890,4.0335,1.6405,0.0427,0.0233,1.6426
0.900,3.5888,4.1335,1.6911,0.0095,-0.0088,1.5091
0.950,3.6888,4.2334,1.7333,-0.0116,-0.0146,1.3590
1.000,3.7886,4.3332,1.7663,-0.0034,0.0075,1.1922
1.050,3.8885,4.4330,1.7928,0.0022,0.0108,1.0166
1.100,3.9885,4.5331,1.8179,0.0030,-0.0252,0.8480
1.150,4.0882,4.6326,1.8413,0.0406,-0.0284,0.6955
1.200,4.1880,4.7310,1.8637,0.0717,-0.0341,0.5605
1.250,4.2879,4.8275,1.8854,0.1022,-0.0507,0.4447
1.300,4.3879,4.9213,1.9058,0.1401,-0.0491,0.3498
1.350,4.4879,5.0115,1.9258,0.1652,-0.0623,0.2704
1.400,4.5875,5.0975,1.9452,0.1856,-0.0746,0.2068
1.450,4.6863,5.1788,1.9638,0.2007,-0.0889,0.1560
1.500,4.7837,5.2550,1.9815,0.2070,-0.1174,0.1135
1.550,4.8790,5.3259,1.9984,0.2090,-0.1467,0.0798
1.600,4.9711,5.3914,2.0147,0.2070,-0.1736,0.0538
1.650,5.0592,5.4515,2.0308,0.2017,-0.1950,0.0346
1.700,5.1427,5.5063,2.0470,0.1936,-0.2101,0.0209
1.750,5.2210,5.5561,2.0634,0.1833,-0.2187,0.0118
1.800,5.2939,5.6011,2.0800,0.1714,-0.2214,0.0060
1.850,5.3613,5.6417,2.0968,0.1587,-0.2191,0.0026
1.900,5.4232,5.6782,2.1136,0.1458,-0.2128,0.0009
1.950,5.4798,5.7111,2.1304,0.1330,-0.2036,0.0002
2.000,5.5314,5.7406,2.1471,0.1208,-0.1924,0.0000
2.050,5.5871,5.7721,2.1669,0.1071,-0.1773,0.0003
